source,target,weight
membrane_2_1,membrane_3_1,0.7034676939145776
membrane_1_1,membrane_2_1,0.6936542223595278
membrane_1_2,membrane_2_2,0.6780830098316636
membrane_0_1,ring_p_1,0.6775899880623965
membrane_0_1,membrane_1_1,0.6741775513135939
cavity_2_1_2,cavity_2_2_1,0.6657407988325017
cavity_2_2_1,cavity_2_2_2,0.6653796675348989
cavity_2_1_1,cavity_2_1_2,0.6650873189890069
cavity_1_1_2,cavity_1_2_1,0.6649159934252492
cavity_1_2_1,cavity_1_2_2,0.6644000594283296
cavity_1_2_2,cavity_2_1_1,0.6639854798537814
membrane_0_2,membrane_1_2,0.6637755488954948
membrane_0_3,membrane_2_2,0.6636765903110002
cavity_1_1_1,cavity_1_1_2,0.663050090780957
membrane_0_2,membrane_2_1,0.6591725435059148
membrane_0_1,ring_p_2,0.6583998059176768
membrane_1_2,membrane_3_1,0.6473711646683133
membrane_0_2,membrane_3_1,0.633308664060088
ring_p_2,ring_p_3,0.6233475508179463
ring_p_m2,ring_p_m3,0.6233475508179463
ring_p_1,ring_p_2,0.6233475508179461
ring_p_m1,ring_p_m2,0.6233475508179461
ring_p_1,ring_p_m1,0.5961585390821571
membrane_0_3,membrane_1_2,0.572359351498662
membrane_0_2,membrane_1_1,0.5682225524017396
membrane_1_1,ring_p_2,0.556467355483504
membrane_1_2,membrane_2_1,0.552535526674636
membrane_2_2,membrane_3_1,0.5398649372777723
membrane_1_1,membrane_3_1,0.536719717395666
membrane_0_1,membrane_2_1,0.5194996114791124
membrane_1_1,ring_p_1,0.5104365073329367
membrane_0_2,membrane_2_2,0.5047244623291562
membrane_0_2,ring_p_3,0.5026593637355989
cavity_2_1_2,cavity_2_2_2,0.4987660853409399
cavity_2_1_1,cavity_2_2_1,0.49862021035593235
cavity_1_1_2,cavity_1_2_2,0.49775368162651
cavity_1_2_2,cavity_2_1_2,0.4976506728754949
cavity_1_2_1,cavity_2_1_1,0.49722712698598026
cavity_1_1_1,cavity_1_2_1,0.49708494532343495
membrane_0_1,ring_p_3,0.4948347129255369
membrane_1_1,ring_p_3,0.4902760876950683
ring_p_1,ring_p_m2,0.468903112855982
ring_p_2,ring_p_m1,0.468903112855982
membrane_0_1,ring_p_m1,0.46441967402975864
membrane_0_1,membrane_0_2,0.46130049899746545
membrane_0_2,membrane_0_3,0.46010486897069625
membrane_2_1,ring_p_2,0.4599769689093701
membrane_1_1,membrane_1_2,0.4568653800981591
membrane_0_2,ring_p_2,0.45615000766801855
ring_p_1,ring_p_3,0.4527995073762531
ring_p_m1,ring_p_m3,0.452799507376253
membrane_2_1,membrane_2_2,0.45066602330209155
membrane_2_1,ring_p_3,0.44746373751734936
membrane_0_3,membrane_3_1,0.44193913588717215
membrane_0_1,membrane_3_1,0.4261741426000805
ring_p_2,ring_p_m2,0.4246622967613336
membrane_2_1,ring_p_1,0.41653684753569925
membrane_1_2,ring_p_3,0.4082933432127215
cavity_2_1_1,cavity_2_2_2,0.3986550076390028
cavity_1_2_2,cavity_2_2_1,0.39822747019435
cavity_1_2_1,cavity_2_1_2,0.3976849597475635
cavity_1_1_2,cavity_2_1_1,0.397613945153945
cavity_1_1_1,cavity_1_2_2,0.39732553965669465
membrane_3_1,ring_p_3,0.396727947719355
membrane_0_3,membrane_2_1,0.3912210445047022
membrane_3_1,ring_p_2,0.38975891695458287
membrane_0_1,ring_p_m2,0.3885598075563716
membrane_0_2,ring_p_1,0.38304425278474896
membrane_1_1,membrane_2_2,0.37997481515712445
membrane_1_1,ring_p_m1,0.3792887597247423
membrane_0_1,membrane_1_2,0.37880410052044833
ring_p_1,ring_p_m3,0.37252828511731856
ring_p_3,ring_p_m1,0.37252828511731856
membrane_1_2,ring_p_2,0.37053579007674314
ring_p_2,ring_p_m3,0.36154672871814897
ring_p_3,ring_p_m2,0.36154672871814897
membrane_3_1,ring_p_1,0.3543237838917962
membrane_2_2,ring_p_3,0.3446083026416644
membrane_0_3,ring_p_3,0.34306081942471595
membrane_0_3,membrane_1_1,0.3429985191833612
cavity_1_2_2,cavity_2_2_2,0.331786411848223
cavity_1_2_1,cavity_2_2_1,0.33154818289334115
cavity_1_1_2,cavity_2_1_2,0.33129422062061903
cavity_1_1_1,cavity_2_1_1,0.3308105581768129
ring_p_3,ring_p_m3,0.329791542466288
membrane_1_1,ring_p_m2,0.3292057947988026
membrane_2_1,ring_p_m1,0.3248700208055016
