dataset_root,nullmodel_type,assignment_label,negative_launchable,abs_launchable,positive_launchable,negative_combined_status,abs_combined_status,positive_combined_status,negative_pair_unit_count,abs_pair_unit_count,positive_pair_unit_count,negative_shell_count,abs_shell_count,positive_shell_count,target_match,ordering_flag,comment
/home/ralf-kemmann/Downloads/deBroglie_Kaster_Theorie/debroglie-phase-bridge/debroglie-phase-bridge/results/a1_probe/k0,real,negative<=negative;abs<=abs;positive<=positive,True,True,False,structured_intermediate,structured_intermediate,boundary_non_launchable,4,4,0,4,4,0,True,negative_abs_above_positive,
/home/ralf-kemmann/Downloads/deBroglie_Kaster_Theorie/debroglie-phase-bridge/debroglie-phase-bridge/results/a1_probe/k0,role_swap,negative<=abs;abs<=negative;positive<=positive,True,True,False,structured_intermediate,structured_intermediate,boundary_non_launchable,4,4,0,4,4,0,True,negative_abs_above_positive,negative<->abs
/home/ralf-kemmann/Downloads/deBroglie_Kaster_Theorie/debroglie-phase-bridge/debroglie-phase-bridge/results/a1_probe/k0,role_swap,negative<=positive;abs<=abs;positive<=negative,False,True,True,boundary_non_launchable,structured_intermediate,structured_intermediate,0,4,4,0,4,4,False,positive_intrudes,negative<->positive
/home/ralf-kemmann/Downloads/deBroglie_Kaster_Theorie/debroglie-phase-bridge/debroglie-phase-bridge/results/a1_probe/k0,role_swap,negative<=negative;abs<=positive;positive<=abs,True,False,True,structured_intermediate,boundary_non_launchable,structured_intermediate,4,0,4,4,0,4,False,positive_intrudes,abs<->positive
/home/ralf-kemmann/Downloads/deBroglie_Kaster_Theorie/debroglie-phase-bridge/debroglie-phase-bridge/results/a1_probe/k0,permutation,negative<=negative;abs<=positive;positive<=abs,True,False,True,structured_intermediate,boundary_non_launchable,structured_intermediate,4,0,4,4,0,4,False,positive_intrudes,
/home/ralf-kemmann/Downloads/deBroglie_Kaster_Theorie/debroglie-phase-bridge/debroglie-phase-bridge/results/a1_probe/k0,permutation,negative<=abs;abs<=negative;positive<=positive,True,True,False,structured_intermediate,structured_intermediate,boundary_non_launchable,4,4,0,4,4,0,True,negative_abs_above_positive,
/home/ralf-kemmann/Downloads/deBroglie_Kaster_Theorie/debroglie-phase-bridge/debroglie-phase-bridge/results/a1_probe/k0,permutation,negative<=abs;abs<=positive;positive<=negative,True,False,True,structured_intermediate,boundary_non_launchable,structured_intermediate,4,0,4,4,0,4,False,positive_intrudes,
/home/ralf-kemmann/Downloads/deBroglie_Kaster_Theorie/debroglie-phase-bridge/debroglie-phase-bridge/results/a1_probe/k0,permutation,negative<=positive;abs<=negative;positive<=abs,False,True,True,boundary_non_launchable,structured_intermediate,structured_intermediate,0,4,4,0,4,4,False,positive_intrudes,
/home/ralf-kemmann/Downloads/deBroglie_Kaster_Theorie/debroglie-phase-bridge/debroglie-phase-bridge/results/a1_probe/k0,permutation,negative<=positive;abs<=abs;positive<=negative,False,True,True,boundary_non_launchable,structured_intermediate,structured_intermediate,0,4,4,0,4,4,False,positive_intrudes,
/home/ralf-kemmann/Downloads/deBroglie_Kaster_Theorie/debroglie-phase-bridge/debroglie-phase-bridge/results/a1_sign_scan/k0/theta_0.03,real,negative<=negative;abs<=abs;positive<=positive,True,True,False,structured_intermediate,structured_intermediate,boundary_non_launchable,4,4,0,4,4,0,True,negative_abs_above_positive,
/home/ralf-kemmann/Downloads/deBroglie_Kaster_Theorie/debroglie-phase-bridge/debroglie-phase-bridge/results/a1_sign_scan/k0/theta_0.03,role_swap,negative<=abs;abs<=negative;positive<=positive,True,True,False,structured_intermediate,structured_intermediate,boundary_non_launchable,4,4,0,4,4,0,True,negative_abs_above_positive,negative<->abs
/home/ralf-kemmann/Downloads/deBroglie_Kaster_Theorie/debroglie-phase-bridge/debroglie-phase-bridge/results/a1_sign_scan/k0/theta_0.03,role_swap,negative<=positive;abs<=abs;positive<=negative,False,True,True,boundary_non_launchable,structured_intermediate,structured_intermediate,0,4,4,0,4,4,False,positive_intrudes,negative<->positive
/home/ralf-kemmann/Downloads/deBroglie_Kaster_Theorie/debroglie-phase-bridge/debroglie-phase-bridge/results/a1_sign_scan/k0/theta_0.03,role_swap,negative<=negative;abs<=positive;positive<=abs,True,False,True,structured_intermediate,boundary_non_launchable,structured_intermediate,4,0,4,4,0,4,False,positive_intrudes,abs<->positive
/home/ralf-kemmann/Downloads/deBroglie_Kaster_Theorie/debroglie-phase-bridge/debroglie-phase-bridge/results/a1_sign_scan/k0/theta_0.03,permutation,negative<=negative;abs<=positive;positive<=abs,True,False,True,structured_intermediate,boundary_non_launchable,structured_intermediate,4,0,4,4,0,4,False,positive_intrudes,
/home/ralf-kemmann/Downloads/deBroglie_Kaster_Theorie/debroglie-phase-bridge/debroglie-phase-bridge/results/a1_sign_scan/k0/theta_0.03,permutation,negative<=abs;abs<=negative;positive<=positive,True,True,False,structured_intermediate,structured_intermediate,boundary_non_launchable,4,4,0,4,4,0,True,negative_abs_above_positive,
/home/ralf-kemmann/Downloads/deBroglie_Kaster_Theorie/debroglie-phase-bridge/debroglie-phase-bridge/results/a1_sign_scan/k0/theta_0.03,permutation,negative<=abs;abs<=positive;positive<=negative,True,False,True,structured_intermediate,boundary_non_launchable,structured_intermediate,4,0,4,4,0,4,False,positive_intrudes,
/home/ralf-kemmann/Downloads/deBroglie_Kaster_Theorie/debroglie-phase-bridge/debroglie-phase-bridge/results/a1_sign_scan/k0/theta_0.03,permutation,negative<=positive;abs<=negative;positive<=abs,False,True,True,boundary_non_launchable,structured_intermediate,structured_intermediate,0,4,4,0,4,4,False,positive_intrudes,
/home/ralf-kemmann/Downloads/deBroglie_Kaster_Theorie/debroglie-phase-bridge/debroglie-phase-bridge/results/a1_sign_scan/k0/theta_0.03,permutation,negative<=positive;abs<=abs;positive<=negative,False,True,True,boundary_non_launchable,structured_intermediate,structured_intermediate,0,4,4,0,4,4,False,positive_intrudes,
/home/ralf-kemmann/Downloads/deBroglie_Kaster_Theorie/debroglie-phase-bridge/debroglie-phase-bridge/results/a1_probe/n1a_alpha,real,negative<=negative;abs<=abs;positive<=positive,False,False,False,boundary_non_launchable,boundary_non_launchable,boundary_non_launchable,2,2,0,0,0,0,False,negative_abs_above_positive,
/home/ralf-kemmann/Downloads/deBroglie_Kaster_Theorie/debroglie-phase-bridge/debroglie-phase-bridge/results/a1_probe/n1a_alpha,role_swap,negative<=abs;abs<=negative;positive<=positive,False,False,False,boundary_non_launchable,boundary_non_launchable,boundary_non_launchable,2,2,0,0,0,0,False,negative_abs_above_positive,negative<->abs
/home/ralf-kemmann/Downloads/deBroglie_Kaster_Theorie/debroglie-phase-bridge/debroglie-phase-bridge/results/a1_probe/n1a_alpha,role_swap,negative<=positive;abs<=abs;positive<=negative,False,False,False,boundary_non_launchable,boundary_non_launchable,boundary_non_launchable,0,2,2,0,0,0,False,negative_abs_above_positive,negative<->positive
/home/ralf-kemmann/Downloads/deBroglie_Kaster_Theorie/debroglie-phase-bridge/debroglie-phase-bridge/results/a1_probe/n1a_alpha,role_swap,negative<=negative;abs<=positive;positive<=abs,False,False,False,boundary_non_launchable,boundary_non_launchable,boundary_non_launchable,2,0,2,0,0,0,False,negative_abs_above_positive,abs<->positive
/home/ralf-kemmann/Downloads/deBroglie_Kaster_Theorie/debroglie-phase-bridge/debroglie-phase-bridge/results/a1_probe/n1a_alpha,permutation,negative<=negative;abs<=positive;positive<=abs,False,False,False,boundary_non_launchable,boundary_non_launchable,boundary_non_launchable,2,0,2,0,0,0,False,negative_abs_above_positive,
/home/ralf-kemmann/Downloads/deBroglie_Kaster_Theorie/debroglie-phase-bridge/debroglie-phase-bridge/results/a1_probe/n1a_alpha,permutation,negative<=abs;abs<=negative;positive<=positive,False,False,False,boundary_non_launchable,boundary_non_launchable,boundary_non_launchable,2,2,0,0,0,0,False,negative_abs_above_positive,
/home/ralf-kemmann/Downloads/deBroglie_Kaster_Theorie/debroglie-phase-bridge/debroglie-phase-bridge/results/a1_probe/n1a_alpha,permutation,negative<=abs;abs<=positive;positive<=negative,False,False,False,boundary_non_launchable,boundary_non_launchable,boundary_non_launchable,2,0,2,0,0,0,False,negative_abs_above_positive,
/home/ralf-kemmann/Downloads/deBroglie_Kaster_Theorie/debroglie-phase-bridge/debroglie-phase-bridge/results/a1_probe/n1a_alpha,permutation,negative<=positive;abs<=negative;positive<=abs,False,False,False,boundary_non_launchable,boundary_non_launchable,boundary_non_launchable,0,2,2,0,0,0,False,negative_abs_above_positive,
/home/ralf-kemmann/Downloads/deBroglie_Kaster_Theorie/debroglie-phase-bridge/debroglie-phase-bridge/results/a1_probe/n1a_alpha,permutation,negative<=positive;abs<=abs;positive<=negative,False,False,False,boundary_non_launchable,boundary_non_launchable,boundary_non_launchable,0,2,2,0,0,0,False,negative_abs_above_positive,
