run_id,seed,parameter_profile,state,null_variant,profile_factor,gain_value,support_sep_baseline,support_sep_combined,neighbor_shift_signal,combined_status_stability,auxiliary_compatibility,sign_stability,replicate_consistency,positive_direction_fraction,null_noise_margin,effective_support_count,effective_neighbor_count,effective_support_unit_ids
H3D12DIV01_20260418_085554,101,base,D1,permutation_null,1.0,-0.005667,0.024663,0.018996,none_or_negative,destabilized,not_compatible,0.0,0.0,0.0,0.02,8,2,abs_e02|abs_e13|abs_e23|negative_e13|positive_e01|positive_e02|positive_e13|positive_e23
H3D12DIV01_20260418_085554,101,base,D2,topology_preserving_random_null,1.0,-0.006211,0.027029,0.020817,none_or_negative,destabilized,not_compatible,0.0,0.0,0.0,0.02,8,1,abs_e01|abs_e02|abs_e03|abs_e12|negative_e03|negative_e13|positive_e03|positive_e13
H3D12DIV01_20260418_085554,101,mild_plus,D1,permutation_null,1.05,-0.005667,0.024663,0.018996,none_or_negative,destabilized,not_compatible,0.0,0.0,0.0,0.02,8,2,abs_e02|abs_e13|abs_e23|negative_e13|positive_e01|positive_e02|positive_e13|positive_e23
H3D12DIV01_20260418_085554,101,mild_plus,D2,topology_preserving_random_null,1.05,-0.006211,0.027029,0.020817,none_or_negative,destabilized,not_compatible,0.0,0.0,0.0,0.02,8,1,abs_e01|abs_e02|abs_e03|abs_e12|negative_e03|negative_e13|positive_e03|positive_e13
H3D12DIV01_20260418_085554,101,mild_minus,D1,permutation_null,0.95,-0.005667,0.024663,0.018996,none_or_negative,destabilized,not_compatible,0.0,0.0,0.0,0.02,8,2,abs_e02|abs_e13|abs_e23|negative_e13|positive_e01|positive_e02|positive_e13|positive_e23
H3D12DIV01_20260418_085554,101,mild_minus,D2,topology_preserving_random_null,0.95,-0.006211,0.027029,0.020817,none_or_negative,destabilized,not_compatible,0.0,0.0,0.0,0.02,8,1,abs_e01|abs_e02|abs_e03|abs_e12|negative_e03|negative_e13|positive_e03|positive_e13
H3D12DIV01_20260418_085554,202,base,D1,permutation_null,1.0,-0.006211,0.027029,0.020817,none_or_negative,destabilized,not_compatible,0.0,0.0,0.0,0.02,8,2,abs_e01|abs_e02|abs_e03|abs_e13|abs_e23|negative_e12|negative_e13|positive_e02
H3D12DIV01_20260418_085554,202,base,D2,topology_preserving_random_null,1.0,0.008486,0.012332,0.020817,positive_low_level_shift,stable,noise_compatible,1.0,1.0,1.0,0.02,8,1,abs_e13|abs_e23|negative_e02|negative_e12|positive_e01|positive_e02|positive_e03|positive_e23
H3D12DIV01_20260418_085554,202,mild_plus,D1,permutation_null,1.05,-0.006211,0.027029,0.020817,none_or_negative,destabilized,not_compatible,0.0,0.0,0.0,0.02,8,2,abs_e01|abs_e02|abs_e03|abs_e13|abs_e23|negative_e12|negative_e13|positive_e02
H3D12DIV01_20260418_085554,202,mild_plus,D2,topology_preserving_random_null,1.05,0.008486,0.012332,0.020817,positive_low_level_shift,stable,noise_compatible,1.0,1.0,1.0,0.02,8,1,abs_e13|abs_e23|negative_e02|negative_e12|positive_e01|positive_e02|positive_e03|positive_e23
H3D12DIV01_20260418_085554,202,mild_minus,D1,permutation_null,0.95,-0.006211,0.027029,0.020817,none_or_negative,destabilized,not_compatible,0.0,0.0,0.0,0.02,8,2,abs_e01|abs_e02|abs_e03|abs_e13|abs_e23|negative_e12|negative_e13|positive_e02
H3D12DIV01_20260418_085554,202,mild_minus,D2,topology_preserving_random_null,0.95,0.008486,0.012332,0.020817,positive_low_level_shift,stable,noise_compatible,1.0,1.0,1.0,0.02,8,1,abs_e13|abs_e23|negative_e02|negative_e12|positive_e01|positive_e02|positive_e03|positive_e23
H3D12DIV01_20260418_085554,303,base,D1,permutation_null,1.0,-0.015165,0.024663,0.009498,none_or_negative,destabilized,not_compatible,0.0,0.0,0.0,0.02,8,1,abs_e01|abs_e02|abs_e12|negative_e13|negative_e23|positive_e02|positive_e12|positive_e13
H3D12DIV01_20260418_085554,303,base,D2,topology_preserving_random_null,1.0,-0.006755,0.029394,0.022639,none_or_negative,destabilized,not_compatible,0.0,0.0,0.0,0.02,8,1,abs_e01|abs_e12|negative_e01|negative_e03|negative_e12|negative_e13|positive_e01|positive_e03
H3D12DIV01_20260418_085554,303,mild_plus,D1,permutation_null,1.05,-0.015165,0.024663,0.009498,none_or_negative,destabilized,not_compatible,0.0,0.0,0.0,0.02,8,1,abs_e01|abs_e02|abs_e12|negative_e13|negative_e23|positive_e02|positive_e12|positive_e13
H3D12DIV01_20260418_085554,303,mild_plus,D2,topology_preserving_random_null,1.05,-0.006755,0.029394,0.022639,none_or_negative,destabilized,not_compatible,0.0,0.0,0.0,0.02,8,1,abs_e01|abs_e12|negative_e01|negative_e03|negative_e12|negative_e13|positive_e01|positive_e03
H3D12DIV01_20260418_085554,303,mild_minus,D1,permutation_null,0.95,-0.015165,0.024663,0.009498,none_or_negative,destabilized,not_compatible,0.0,0.0,0.0,0.02,8,1,abs_e01|abs_e02|abs_e12|negative_e13|negative_e23|positive_e02|positive_e12|positive_e13
H3D12DIV01_20260418_085554,303,mild_minus,D2,topology_preserving_random_null,0.95,-0.006755,0.029394,0.022639,none_or_negative,destabilized,not_compatible,0.0,0.0,0.0,0.02,8,1,abs_e01|abs_e12|negative_e01|negative_e03|negative_e12|negative_e13|positive_e01|positive_e03
H3D12DIV01_20260418_085554,404,base,D1,permutation_null,1.0,0.008486,0.012332,0.020817,positive_low_level_shift,stable,noise_compatible,1.0,1.0,1.0,0.02,8,1,abs_e02|abs_e23|negative_e12|negative_e13|negative_e23|positive_e01|positive_e03|positive_e23
H3D12DIV01_20260418_085554,404,base,D2,topology_preserving_random_null,1.0,-0.002834,0.012332,0.009498,none_or_negative,destabilized,not_compatible,0.0,0.0,0.0,0.02,8,1,negative_e01|negative_e02|negative_e12|negative_e23|positive_e01|positive_e12|positive_e13|positive_e23
H3D12DIV01_20260418_085554,404,mild_plus,D1,permutation_null,1.05,0.008486,0.012332,0.020817,positive_low_level_shift,stable,noise_compatible,1.0,1.0,1.0,0.02,8,1,abs_e02|abs_e23|negative_e12|negative_e13|negative_e23|positive_e01|positive_e03|positive_e23
H3D12DIV01_20260418_085554,404,mild_plus,D2,topology_preserving_random_null,1.05,-0.002834,0.012332,0.009498,none_or_negative,destabilized,not_compatible,0.0,0.0,0.0,0.02,8,1,negative_e01|negative_e02|negative_e12|negative_e23|positive_e01|positive_e12|positive_e13|positive_e23
H3D12DIV01_20260418_085554,404,mild_minus,D1,permutation_null,0.95,0.008486,0.012332,0.020817,positive_low_level_shift,stable,noise_compatible,1.0,1.0,1.0,0.02,8,1,abs_e02|abs_e23|negative_e12|negative_e13|negative_e23|positive_e01|positive_e03|positive_e23
H3D12DIV01_20260418_085554,404,mild_minus,D2,topology_preserving_random_null,0.95,-0.002834,0.012332,0.009498,none_or_negative,destabilized,not_compatible,0.0,0.0,0.0,0.02,8,1,negative_e01|negative_e02|negative_e12|negative_e23|positive_e01|positive_e12|positive_e13|positive_e23
H3D12DIV01_20260418_085554,505,base,D1,permutation_null,1.0,0.006664,0.012332,0.018996,positive_low_level_shift,stable,noise_compatible,1.0,1.0,1.0,0.02,8,1,abs_e23|negative_e02|negative_e03|negative_e13|negative_e23|positive_e01|positive_e12|positive_e13
H3D12DIV01_20260418_085554,505,base,D2,topology_preserving_random_null,1.0,-0.005667,0.024663,0.018996,none_or_negative,destabilized,not_compatible,0.0,0.0,0.0,0.02,8,2,abs_e01|abs_e02|abs_e12|abs_e13|negative_e02|negative_e23|positive_e01|positive_e02
H3D12DIV01_20260418_085554,505,mild_plus,D1,permutation_null,1.05,0.006664,0.012332,0.018996,positive_low_level_shift,stable,noise_compatible,1.0,1.0,1.0,0.02,8,1,abs_e23|negative_e02|negative_e03|negative_e13|negative_e23|positive_e01|positive_e12|positive_e13
H3D12DIV01_20260418_085554,505,mild_plus,D2,topology_preserving_random_null,1.05,-0.005667,0.024663,0.018996,none_or_negative,destabilized,not_compatible,0.0,0.0,0.0,0.02,8,2,abs_e01|abs_e02|abs_e12|abs_e13|negative_e02|negative_e23|positive_e01|positive_e02
H3D12DIV01_20260418_085554,505,mild_minus,D1,permutation_null,0.95,0.006664,0.012332,0.018996,positive_low_level_shift,stable,noise_compatible,1.0,1.0,1.0,0.02,8,1,abs_e23|negative_e02|negative_e03|negative_e13|negative_e23|positive_e01|positive_e12|positive_e13
H3D12DIV01_20260418_085554,505,mild_minus,D2,topology_preserving_random_null,0.95,-0.005667,0.024663,0.018996,none_or_negative,destabilized,not_compatible,0.0,0.0,0.0,0.02,8,2,abs_e01|abs_e02|abs_e12|abs_e13|negative_e02|negative_e23|positive_e01|positive_e02
